date_debut,date_fin,nom,communes,categorie,lien
2026-01-07,2026-01-18,Fête du Miel Vert,Le Tampon|La Plaine-des-Palmistes,Culture,
2026-01-18,,Marche sur le Feu,Saint-André|Saint-Pierre|Saint-Denis,Religieux,
2026-01-23,2026-02-01,Cavadee,Saint-André|Bras-Panon|Saint-Denis,Religieux,
2026-02-17,2026-02-18,Nouvel An Chinois,Saint-Denis|Saint-Pierre|Saint-Paul|Le Port,Culture,
2026-02-28,2026-03-01,Fête des Lanternes,Saint-André|Saint-Pierre,Culture,
2026-04-21,2026-05-02,Festival Komidi,Saint-Joseph,Culture,
2026-05-01,2026-05-10,Salon de la Maison,Saint-Denis,Culture,
2026-05-08,2026-05-17,Foire de Bras-Panon,Bras-Panon|Saint-André,Culture,
2026-05-22,2026-06-07,Fête des Goyaviers,La Plaine-des-Palmistes,Culture,
2026-05-22,2026-05-23,Électropicales,Saint-Denis,Culture,
2026-06-01,2026-06-03,Festival Liberté Métisse,Saint-Denis,Culture,
2026-06-02,2026-06-04,IOMMA,Saint-Pierre,Culture,
2026-06-05,2026-06-07,Sakifo Musik Festival,Saint-Pierre|Petite-Île,Culture,https://www.sakifo.com
2026-06-14,,Fête du Vacoa,Saint-Philippe,Culture,
2026-06-21,,Fête de la Musique,ALL,Culture,
2026-06-28,,Grand Boucan,Saint-Paul|La Possession|Trois-Bassins,Culture,
2026-07-14,,14 Juillet,ALL,Jour férié,
2026-07-25,2026-07-26,Tour Auto de La Réunion,ALL,Sport,
2026-08-07,2026-08-09,Fête de Guan Di,Saint-Denis,Religieux,
2026-09-01,2026-09-06,Francofolies de La Réunion,Saint-Paul,Culture,
2026-09-19,,Pèlerinage Notre-Dame de la Salette,Saint-Leu,Religieux,
2026-09-27,,Semi-Marathon de Saint-Denis,Saint-Denis|Sainte-Marie,Sport,
2026-10-01,,Nuit du Maloya,ALL,Culture,
2026-10-15,2026-10-18,Grand Raid,ALL,Sport,https://www.grandraid-reunion.com
2026-10-23,2026-10-25,Salon REGAL,Saint-Denis,Culture,
2026-11-08,,Dipavali,Saint-André|Bras-Panon|Saint-Denis,Religieux,
2026-12-20,,Fet Kaf,ALL,Jour férié,
2026-12-31,2027-01-01,Réveillon Nouvel An,ALL,Jour férié,
2027-05-05,2027-05-08,Leu Tempo Festival,Saint-Leu,Culture,
